"date","open","high","low","close","stock"
2018-12-17,67700,69200,66900,69100,"LG전자"
2018-12-18,68200,68800,66800,66900,"LG전자"
2018-12-19,66900,67500,65100,65300,"LG전자"
2018-12-20,64500,64500,61800,62600,"LG전자"
2018-12-21,62000,62900,61800,62400,"LG전자"
2018-12-24,62000,62400,61200,61800,"LG전자"
2018-12-26,61000,61900,60600,61300,"LG전자"
2018-12-27,62500,63300,61700,61900,"LG전자"
2018-12-28,62300,63500,62100,62300,"LG전자"
2018-12-03,38000,38100,37100,37150,"하나금융지주"
2018-12-04,37150,37200,36450,36650,"하나금융지주"
2018-12-05,36150,36500,35800,36450,"하나금융지주"
2018-12-06,36450,36700,36050,36400,"하나금융지주"
2018-12-07,36200,36650,35900,36650,"하나금융지주"
2018-12-10,36500,36550,35800,36350,"하나금융지주"
2018-12-11,36050,36350,35500,35950,"하나금융지주"
2018-12-12,36250,37000,36200,37000,"하나금융지주"
2018-12-13,37150,37300,36800,37150,"하나금융지주"
2018-12-14,37350,37750,36950,37250,"하나금융지주"
2018-12-17,37250,37900,37050,37400,"하나금융지주"
2018-12-18,37350,37950,37200,37950,"하나금융지주"
2018-12-19,37950,38250,37500,37600,"하나금융지주"
2018-12-20,37550,38050,37450,37800,"하나금융지주"
2018-12-21,37800,38050,37350,38050,"하나금융지주"
2018-12-24,38000,38200,37550,38000,"하나금융지주"
2018-12-26,37750,37750,37050,37300,"하나금융지주"
2018-12-27,36550,36600,35450,35700,"하나금융지주"
2018-12-28,35850,36300,35700,36250,"하나금융지주"
2018-12-03,177000,177500,173000,175500,"아모레퍼시픽"
2018-12-04,176000,176500,172000,174000,"아모레퍼시픽"
2018-12-05,168500,171000,167000,170000,"아모레퍼시픽"
2018-12-06,171500,172000,161000,161000,"아모레퍼시픽"
2018-12-07,163000,170500,163000,169500,"아모레퍼시픽"
2018-12-10,166500,175500,166000,174000,"아모레퍼시픽"
2018-12-11,174000,175500,170500,174500,"아모레퍼시픽"
2018-12-12,176000,189000,176000,188500,"아모레퍼시픽"
2018-12-13,189000,193500,185000,193500,"아모레퍼시픽"
2018-12-14,194500,195000,187000,187500,"아모레퍼시픽"
